Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,simulationCount (_RandomStratTypeTrades)
-20457.5,119,35.2941176470588,-171.911764705882,-23440,0.583562340966921,-94.5574300901317,0,150
3298.873,25,40,131.95492,-8105.946,1.28067713263701,47.2925919947289,0,151
-12998.5,74,40.5405405405405,-175.655405405405,-14984.25,0.581517014906152,-97.3415209495638,0,152
4832.5,1,100,4832.5,-3172.5,0,0,0,153
-13356.375,23,39.1304347826087,-580.711956521739,-18786.625,0.276288073257791,-80.4025734602506,0,154
-12805,34,26.4705882352941,-376.617647058824,-14740,0.387210623915774,-97.8227654698243,0,155
0,0,0,0,0,0,0,0,156
-2475.25,8,37.5,-309.40625,-6490,0.608485902961762,-49.7787833081951,0,157
-10145.016,36,38.8888888888889,-281.806,-13944.781,0.511003818646858,-77.0575471994772,0,158
-2660,67,35.8208955223881,-39.7014925373134,-10490,0.877616747181965,-30.0056401579244,0,159
-33308.125,105,34.2857142857143,-317.220238095238,-35933.125,0.548153800500233,-98.9380859556298,0,160
6197.5,8,50,774.6875,-3971.875,3.01299228583029,217.360806663744,0,161
-7217.504,11,18.1818181818182,-656.136727272727,-8720.181,0.183433397334923,-100,0,162
-16007.24,33,27.2727272727273,-485.067878787879,-17808.311,0.40989863879109,-94.0732396822915,0,163
-4506,4,25,-1126.5,-7445.5,0.0837738918259455,-91.6226108174054,0,164
-7728.224,24,29.1666666666667,-322.009333333333,-11715.722,0.333322636439315,-83.8558602078259,0,165
-6390.001,7,14.2857142857143,-912.857285714286,-8339.286,0.110868057014638,-88.9131942985362,0,166
-3449.815,12,33.3333333333333,-287.484583333333,-6024.69,0.429199012411699,-70.4627711940914,0,167
103.922,19,36.8421052631579,5.46957894736842,-5254.47,1.02048731346741,2.48468262807035,0,168
-9988.5,24,29.1666666666667,-416.1875,-10408,0.350182971456453,-100,0,169
-2018,3,33.3333333333333,-672.666666666667,-2799.5,0.0194363459669582,-100,0,170
-7224.669,71,38.0281690140845,-101.755901408451,-11281.968,0.783902922532064,-72.5783221272963,0,171
5876.426,13,46.1538461538462,452.032769230769,-7137.143,1.87740563571314,111.779839353809,0,172
-23865,179,33.5195530726257,-133.324022346369,-30255,0.691875665730609,-81.6176470588235,0,173
-10505.827,50,34,-210.11654,-15642.519,0.68147887072001,-80.0595297290101,0,174
-26025,60,25,-433.75,-28812.5,0.243843974722162,-96.3621216328798,0,175
4772.316,13,46.1538461538462,367.101230769231,-4262.143,1.72689327013294,148.67852485278,0,176
2773.031,10,70,277.3031,-3264.643,2.08005060173297,136.016235438381,0,177
-21407.514,77,35.0649350649351,-278.019662337662,-24603.584,0.606941495857314,-96.7742539199254,0,178
-1081.25,29,37.9310344827586,-37.2844827586207,-10293.75,0.937517155694246,-14.4123429637775,0,179
-18340.682,68,26.4705882352941,-269.715911764706,-22043.271,0.451935041118733,-93.5620672468932,0,180
-24543.245,131,32.824427480916,-187.353015267176,-27247.53,0.650887408237774,-92.4315499101849,0,181
-6896.625,27,33.3333333333333,-255.430555555556,-8980.75,0.507919944346337,-91.7317859874306,0,182
