Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,simulationCount (RandomLongTrades)
39922.5,4182,54.9976087996174,9.54626972740316,-11512.5,1.12074766920477,376.894028793958,0,71
35785,2369,55.1287463064584,15.1055297593921,-8490,1.19741269928835,537.514081862561,0,72
34797.5,3231,54.5961002785515,10.7698854843702,-10397.5,1.12406521022185,392.748306997743,0,73
19185,3091,54.4160465868651,6.20672921384665,-12500,1.08042002012072,162.001266624446,0,74
32655,4739,54.5051698670606,6.89069423929099,-13425,1.09993649724949,254.124513618677,0,75
39952.5,2962,55.6380823767725,13.488352464551,-11932.5,1.14591722135481,341.037131882202,0,76
31000,2451,55.609955120359,12.6478988168095,-16552.5,1.1333505398546,193.689472039987,0,77
31585,3231,54.4103992571959,9.77561126586196,-11045,1.11895301760663,308.824248350037,0,78
19917.5,2154,53.9925719591458,9.24675023212628,-11702.5,1.10045518163134,185.927654609102,0,79
31995,2962,55.1316677920324,10.8018230925051,-14397.5,1.11835862719529,225.237592397043,0,80
29275,5469,53.6661181203145,5.35289815322728,-11680,1.08568585268765,269.87785203964,0,81
18805,5924,53.8656313301823,3.17437542201215,-10242.5,1.05699823443384,193.020272004106,0,82
24875,3231,54.8127514701331,7.69885484370164,-9230,1.11163218597137,288.322225441901,0,83
18810,2031,54.849827671098,9.26144756277696,-15070,1.09884782637256,128.505550811272,0,84
29497.5,3741,54.7714514835605,7.88492381716119,-7372.5,1.11390535400537,469.518503780342,0,85
29562.5,3741,53.9962576851109,7.90229885057471,-7975,1.13036911271829,403.033401499659,0,86
38030,3231,54.6580006190034,11.7703497369236,-10687.5,1.13324340658859,390.752632930902,0,87
32222.5,2843,55.6102708406613,11.3339781920507,-10422.5,1.12166894793977,321.101145989038,0,88
35190,4739,55.4969402827601,7.42561721882254,-13415,1.10299336352794,283.105390185036,0,89
24397.5,3385,53.3234859675037,7.20753323485967,-6800,1.13153000161734,385.274378207659,0,90
36857.5,3741,54.557604918471,9.85231221598503,-11852.5,1.12272129455441,343.499534016775,0,91
8035,3949,53.3552798176754,2.03469232717144,-14635,1.04164830892834,58.8860388420667,0,92
16395,2962,51.9581363943282,5.53511141120864,-6730,1.09432713882976,255.672514619883,0,93
27477.5,2221,55.8307068887888,12.371679423683,-14605,1.13331958612826,198.896127397756,0,94
36395,3385,54.2983751846381,10.7518463810931,-12772.5,1.12339693330056,307.975460122699,0,95
27475,3385,55.1550960118168,8.11669128508124,-13400,1.10972224995507,216.594402837998,0,96
30422.5,2843,54.5902215969047,10.7008441786845,-6580,1.17834740297807,472.949863972017,0,97
45030,3949,55.2798176753609,11.4028868067865,-12092.5,1.13407970938975,402.592758158248,0,98
14390,2091,54.8541367766619,6.88187470109995,-14847.5,1.07234609486941,100.646966252841,0,99
34107.5,2539,55.0216620716818,13.4334383615597,-8275,1.15586299867477,436.995515695067,0,100
26020,2451,56.2627498980008,10.6160750713994,-16915,1.12088129057735,159.046454767726,0,101
18632.5,2154,54.6425255338904,8.65018570102136,-12572.5,1.09056003110609,161.845819761129,0,102
6672.5,2734,54.0234089246525,2.44056327724945,-17087.5,1.02999617883072,39.7290860375112,0,103
32980,2843,55.0826591628561,11.6004220893422,-5270,1.16139964519484,670.665988815455,0,104
36755,5078,54.1748719968492,7.23808586057503,-16265,1.10606661808947,232.810768012668,0,105
16395,2962,51.9581363943282,5.53511141120864,-6730,1.09432713882976,255.672514619883,0,106
27477.5,2221,55.8307068887888,12.371679423683,-14605,1.13331958612826,198.896127397756,0,107
16955,3091,54.4807505661598,5.48527984471045,-11985,1.0877917437962,147.627340008707,0,108
47612.5,2293,55.0370693414741,20.764282599215,-10062.5,1.23631671030264,539.671294984415,0,109
30385,4443,54.670267837047,6.83884762547828,-12265,1.0901504980752,274.915177561638,0,110
26387.5,3231,53.9151965335809,8.16697616836893,-12442.5,1.10351489712257,231.063922942207,0,111
18397.5,3554,54.6145188519978,5.17656162070906,-6095,1.1106134167055,342.438343415542,0,112
37467.5,4739,54.9694028276008,7.90620384047267,-12425,1.1051756201972,324.464169733709,0,113
24397.5,3385,53.3234859675037,7.20753323485967,-6800,1.13153000161734,385.274378207659,0,114
32702.5,4739,53.682211437012,6.90071745093902,-10680,1.12733378759856,315.128884606119,0,115
23227.5,3554,53.7985368598762,6.53559369724254,-7812.5,1.12972271089889,324.406424581006,0,116
20042.5,2962,53.7812288993923,6.76654287643484,-8312.5,1.10880983726706,248.975155279503,0,117
21197.5,3385,53.5302806499261,6.26218611521418,-7187.5,1.09840194041803,314.50296735905,0,118
25387.5,3231,54.4722995976478,7.85747446610956,-8177.5,1.11979756511891,319.641170915958,0,119
13092.5,2451,55.5691554467564,5.34169726642187,-19335,1.06501793983637,69.7522642514651,0,120
36590,2369,55.255382017729,15.4453355846349,-8620,1.19322727572777,538.682370261318,0,121
19740,2633,54.8803646031143,7.49715153816939,-7507.5,1.11357065803668,289.867841409692,0,122
35247.5,5469,53.9952459316146,6.44496251599927,-11470,1.09759592421589,331.585136406397,0,123
15792.5,3949,53.5831856166118,3.9991136996708,-13765,1.05350125347246,120.599465444826,0,124
23032.5,3385,54.4165435745938,6.80428360413589,-10985,1.09625852827784,222.482492151654,0,125
30030,4739,54.4418653724414,6.33677991137371,-14365,1.09606064968092,214.614972306593,0,126
27455,2962,54.2876434841323,9.26907494935854,-9120,1.14386208522735,310.576923076923,0,127
