Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,simulationCount (_RandomDirectionalTrades)
-10197.5,59,30.5084745762712,-172.838983050847,-12205,0.517220972896201,-92.7677962246987,0,365
-10252.5,55,38.1818181818182,-186.409090909091,-15000,0.651838016809576,-70.3792689205423,0,45
-10297.5,43,41.8604651162791,-239.476744186047,-10897.5,0.589045196049087,-100,0,483
-10520,49,28.5714285714286,-214.69387755102,-13152.5,0.555696336184141,-97.4299606390368,0,465
-10647.5,57,29.8245614035088,-186.798245614035,-15430,0.606849441521278,-70.7122696330732,0,377
-10825,111,39.6396396396396,-97.5225225225225,-15147.5,0.681406813332352,-75.6993006993007,0,208
-10847.5,71,35.2112676056338,-152.781690140845,-16097.5,0.581339251254342,-71.8020850570908,0,445
-10957.5,97,35.0515463917526,-112.963917525773,-15605,0.750597473540457,-77.9754492083259,0,234
-11042.5,107,39.2523364485981,-103.200934579439,-22800,0.693498022344043,-51.8244749501349,0,287
-11107.5,59,30.5084745762712,-188.262711864407,-12820,0.51574931880109,-94.5922929529487,0,251
-11197.5,83,38.5542168674699,-134.909638554217,-14920,0.729463638560039,-83.5946248600224,0,74
-11242.5,88,40.9090909090909,-127.755681818182,-18872.5,0.755876445361272,-65.221174764322,0,226
-11317.5,100,33,-113.175,-16370,0.673329484774138,-73.5380116959064,0,274
-11397.5,71,26.7605633802817,-160.528169014085,-13730,0.692851849356599,-94.5262284884926,0,108
-11397.5,71,26.7605633802817,-160.528169014085,-13730,0.692851849356599,-94.5262284884926,0,140
-11470,81,38.2716049382716,-141.604938271605,-16122.5,0.691251682368775,-72.3887661722941,0,356
-11585,66,33.3333333333333,-175.530303030303,-13642.5,0.664931308749096,-87.731919727376,0,76
-11595,50,30,-231.9,-17710,0.57813352737857,-72.0969998445515,0,79
-11595,50,30,-231.9,-17710,0.57813352737857,-72.0969998445515,0,346
-11677.5,143,32.8671328671329,-81.6608391608392,-20842.5,0.827415481248845,-59.1190988482471,0,193
-11677.5,143,32.8671328671329,-81.6608391608392,-20842.5,0.827415481248845,-59.1190988482471,0,387
-12052.5,56,33.9285714285714,-215.223214285714,-15762.5,0.465461802860628,-79.4757665677547,0,426
-12060,48,33.3333333333333,-251.25,-15382.5,0.522518063941404,-84.4685694274208,0,10
-12060,48,33.3333333333333,-251.25,-15382.5,0.522518063941404,-84.4685694274208,0,31
-12060,48,33.3333333333333,-251.25,-15382.5,0.522518063941404,-84.4685694274208,0,361
-12060,48,33.3333333333333,-251.25,-15382.5,0.522518063941404,-84.4685694274208,0,477
-12090,70,28.5714285714286,-172.714285714286,-21522.5,0.671734998642411,-59.1487279843444,0,268
-12122.5,150,36,-80.8166666666667,-27382.5,0.826100989814948,-44.6830077405087,0,438
-12202.5,81,37.037037037037,-150.648148148148,-15320,0.691446994120994,-85.887735351047,0,291
-12317.5,49,30.6122448979592,-251.377551020408,-18130,0.598123980424144,-78.0824088748019,0,49
-12342.5,70,28.5714285714286,-176.321428571429,-14922.5,0.53283497350492,-84.3210930828352,0,185
-12357.5,61,27.8688524590164,-202.581967213115,-12890,0.631724035166145,-100,0,266
-12357.5,61,27.8688524590164,-202.581967213115,-12890,0.631724035166145,-100,0,328
-12450,150,38,-83,-28312.5,0.820255540316177,-44.4523788270999,0,344
-12450,150,38,-83,-28312.5,0.820255540316177,-44.4523788270999,0,497
-12550,75,33.3333333333333,-167.333333333333,-18552.5,0.699130955948457,-75.4773718237859,0,441
-12562.5,81,37.037037037037,-155.092592592593,-16855,0.68589823727966,-75.7804252752224,0,126
-12602.5,77,29.8701298701299,-163.668831168831,-17700,0.609315663024103,-80.4372107866603,0,85
-12602.5,77,29.8701298701299,-163.668831168831,-17700,0.609315663024103,-80.4372107866603,0,293
-12672.5,83,39.7590361445783,-152.680722891566,-14040,0.533627748642929,-93.9225495645729,0,124
-12777.5,62,29.0322580645161,-206.088709677419,-14737.5,0.616262482168331,-100,0,158
-12777.5,62,29.0322580645161,-206.088709677419,-14737.5,0.616262482168331,-100,0,401
-12950,61,29.5081967213115,-212.295081967213,-13375,0.552831491712707,-99.5005762581636,0,18
-12950,61,29.5081967213115,-212.295081967213,-13375,0.552831491712707,-99.5005762581636,0,136
-13017.5,83,34.9397590361446,-156.83734939759,-16957.5,0.69673849737915,-90.7142857142857,0,186
-13085,61,31.1475409836066,-214.508196721311,-13872.5,0.544314818039352,-96.408178301713,0,27
-13095,97,39.1752577319588,-135,-15627.5,0.709838245069798,-86.9521912350598,0,120
-13105,52,30.7692307692308,-252.019230769231,-13950,0.537620181705919,-100,0,66
-13105,60,31.6666666666667,-218.416666666667,-14867.5,0.489083820662768,-94.7235272858692,0,173
-13105,60,31.6666666666667,-218.416666666667,-14867.5,0.489083820662768,-94.7235272858692,0,343
-13352.5,57,22.8070175438597,-234.254385964912,-17005,0.525117809193563,-79.384661117717,0,2
-13352.5,57,22.8070175438597,-234.254385964912,-17005,0.525117809193563,-79.384661117717,0,267
-13352.5,57,22.8070175438597,-234.254385964912,-17005,0.525117809193563,-79.384661117717,0,396
-13372.5,77,40.2597402597403,-173.668831168831,-16217.5,0.544494592523205,-95.1779359430605,0,474
-13495,70,30,-192.785714285714,-21022.5,0.585566218809981,-65.9740894646786,0,428
-13547.5,55,30.9090909090909,-246.318181818182,-17670,0.525065731814198,-78.0723238726408,0,197
-13610,62,33.8709677419355,-219.516129032258,-14537.5,0.503556447200438,-100,0,411
-13672.5,83,34.9397590361446,-164.728915662651,-17840,0.670124856746486,-94.5375972342264,0,215
-13672.5,83,34.9397590361446,-164.728915662651,-17840,0.670124856746486,-94.5375972342264,0,308
-13672.5,83,34.9397590361446,-164.728915662651,-17840,0.670124856746486,-94.5375972342264,0,320
-13722.5,94,29.7872340425532,-145.984042553191,-18050,0.687093831946186,-82.1706586826347,0,256
